No.,GlassNo.,DataSource,Year,DataSourceNumber,State,GlassSystem1,GlassSystem2,GlassSystem3,Appearance1,Appearance2,Appearance3,Appearance4,Usage1,Usage2,Usage3,Usage4,ThermalTreatment,Note,GlassNo.(Structure),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,Ag2O,MnO,FeO,CoO,NiO,CuO,ZnO,SrO,CdO,PbO,SnO,Cr2O3,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Nd2O3,Gd2O3,Bi2O3,Co3O4,TiO2,MnO2,GeO2,ZrO2,CeO2,SnO2,P2O5,Ta2O5,Nb2O3,SO3,MoO3,WO3,H2O,LiF,NaF,KF,MgF2,CaF2,SrF2,BaF2,ZnF2,PbF2,YF3,AlF3,LaF3,GdF3,YbF3,ErF3,F,Cl,Br,Ag,AbbeValue(nd-1)/(nF-nC)
5281,GP09-099706,USPatentSchottGlassTech.(US),1984,A4444893,Glass,OtherSilicate,AlkaliSilicate,Alkaline-earthSilicate,,,,,OphthalmicLens,,,,,,,65.52,0,0,0,10.65,0,0,10.14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.65
16727,GP09-313489,EuropeanPatentOCVIntellectualCapital(US),2013,A2630093,Glass,OtherSilicate,Alumino-Silicate,,Fiber,,,,Composite,Fiber,,,,OCVIntellectualCapitalLLC.Ex.20,,51.4,12.45,15.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,2.96,0,0,0,0,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.9
7720,GP02-266500,EuropeanPatentOharaInc.(J),2005,A1514849,Glass,AlkaliSilicate,,,,,,,OpticalUse,Lens&Prism,,,,Ex.10,,72.84,2.17,0.19,0,3.93,0,2.53,9.14,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.5
991,GB03-011574,HandbookofGlassProperties,1986,v.001p.0567,Glass,Alkaline-earthSilicate,AlkaliSilicate,,,,,,,,,,,,,59,0,0,0,0,0,0,0,18.6,0,0,0,0,0,0,0,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1
9573,GP07-212025,JapanesePatent,2001,A180970,Glass,Zinc-Silicate,Lead-Silicate,,,,,,OpticalUse,Lens&Prism,,,,,,52.51,0,0,0,0,0,0,6.46,2.61,0,0,0,0,0,0,33,0,0,5.34,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3
2845,GC01-052205,Shin-EtsuQuartzProducts(J),1980,Infrasil12,Glass,Silica,,,Block,Slab,Rod,,IR-TransmittingMaterial,,,,,HighIR-Transmitting,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.6
6969,GP02-162519,JapanesePatent,1995,A002544,Glass,AlkaliSilicate,OtherSilicate,,NonLead,,,,Container,TableWare,,,,,,65.54,0,0,0,0,0,0,21.99,0,0,0,0,0,0,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5
4817,GP02-094169,USPatentCorningInc.(US),1985,A4540672,Glass,AlkaliSilicate,Boro-Silicate,,,,,,OphthalmicLens,,,,,,,56.84,7.99,0,0,6.69,0,9.83,1.01,7.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,9.4,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.4
5365,GP04-102625,JapanesePatentOharaInc.(J),1989,A308843,Glass,Lead-Silicate,AlkaliSilicate,,Pressed,,,,MoldedLens,,,,,,,53.68,0.81,0.79,2,0,0,10.79,13.01,4.27,0,0,0,0,0,0,0.98,0,0,12.65,0,0,0,0.12,0,0,0.24,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
14188,GP03-294502,EuropeanPatentNipponSheetGlass(J),2009,A2119680,Glass,Alkaline-earthSilicate,Alumino-Silicate,,Flake,,,,Filler,,,,,Ex.1,,59,0,8.7,5.47,21.83,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
5186,GB04-098965,PropertiesofGlass,1954,v.001p.0426,Glass,Lead-Silicate,AlkaliSilicate,,,,,,,,,,,DenseFlint,,69.54,1.09,0,0,0.82,0,0,9.36,0,0,0,0,0,0,0,0,0,0,19.09,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6
